tema_id,tema,stav_k_uzaverce,posledni_dolozeny_milnik,zjisteni,gestori_k_provereni,body_programu,zdroje
sako,SAKO: třetí spalovací linka,Původní projekt zastaven; nová smlouva uzavřena,2025-12-02,"Mimořádné Z9/11 dne 18. října 2023 schválilo ukončení přípravy původního projektu. Konečné rozhodnutí mělo 32 hlasů pro: 31 v tajné volbě a jeden veřejný on-line hlas Miroslava Kubáska. Jmenovitě lze analyzovat veřejné hlasování o zavedení tajné volby, nikoliv rekonstruovat tajné lístky. Nově soutěžená modernizace vyústila v oznámení smlouvy za 5,4 mld. Kč v prosinci 2025. Politickou bilanci je třeba dělat nad oběma projekty, dotačními podmínkami, termíny a rozsahem; nelze prostým odečtením různých cen určit škodu nebo úsporu.",Robert Kerndl; Pavel Urubek; orgány koncernu; ZMB,9.1,https://cobude.brno.cz/projekt/odpadove-hospodarstvi/ | https://www.sako.cz/sako-brno-uzavrelo-smlouvu-na-projekt-modernizace-zevo-spolecnosti-sako-brno | https://www.sako.cz/sites/default/files/docs/2025/06/vz2024.pdf
biomasa,Biomasový zdroj Brno-sever,Ve zkušebním provozu,2026-05-01,"Teplárny v květnu 2026 popisují nový biomasový zdroj již ve zkušebním provozu. To je silnější doklad než dřívější slib zahájit stavbu, ale ještě není vyhodnocením dlouhodobého standardního provozu. Podnik uvádí předpokládané snížení závislosti na plynu; údaje o očekávané roční úspoře emisí jsou modelový či provozovatelem deklarovaný přínos, nikoliv v tomto přehledu nezávisle přeměřený výsledek.",Robert Kerndl; Jiří Herman; Teplárny Brno,9.1,https://www.teplarny.cz/cs/zdroj-brno-sever-ziskal-kristalovy-komin-za-projekt-roku-a-uspel-v-celostatni-konkurenci
energetika_sprava,Městská energetika a dodavatel energií,Institucionální změny doloženy,2025-03-05,"Městský přehled z března 2025 dokládá vznik Oddělení městské energetiky, aktualizaci energetické koncepce a založení společnosti Energie Teplárny Brno. Jsou to konkrétní nástroje k plnění programu. Příznivé hodnocení zvládnutí energetické krize je vlastní hodnocení města; nelze z něj bez cenového srovnání a znalosti nákupní strategie odvodit, že všechny úspory způsobilo vedení magistrátu.",Robert Kerndl; Markéta Vaňková; Teplárny Brno,9.7;9.9,https://cosedeje.brno.cz/w/energetickou-krizi-brno-uspesne-zvladlo-ted-se-zbavuje-zavislosti-na-plynu-a-sazi-na-obnovitelne-a-druhotne-zdroje-energie-a-na-teplo-z-dukovan
dukovany,Horkovod Dukovany–Brno,Příprava a projektování,2026-06-24,"Projekt v roce 2026 pokračuje přípravou. Podepsaná memoranda a smlouvy jsou významné milníky, ale nejde o hotový zdroj dodávající Brnu teplo z Dukovan. Pro budoucí kontrolu jsou rozhodující financování, povolení, trasa, cenové podmínky tepla a skutečný harmonogram stavby.",Robert Kerndl; Jiří Herman; Teplárny Brno; ČEZ,9.1,https://cobude.brno.cz/projekt/tepelny-napajec-dukovany-brno/ | https://cobude.brno.cz/horkovod-dukovany-brno-miri-do-dalsi-etapy-priprav-teplarny-brno-predstavily-aktualni-stav-projektu/
julia,Dům pro Julii,Dokončeno v roce 2024,2024-07,"Dětský hospic je hmatatelný dokončený výsledek. Příprava a zahájení stavby v květnu 2022 předcházejí této radě; dokončení spadá do roku 2024. Městský projektový list uvádí skutečné celkové náklady 232 976 395,46 Kč a dotaci 85 906 610,62 Kč. Tyto hodnoty mají jiný rozsah než samotná cena stavebních prací. Politickou gesci sociálních služeb je třeba odlišit od práce provozovatele hospice a dárců.",Robert Kerndl; René Černý; provozovatel Dům pro Julii,18.4,https://www.brno.cz/documents/20121/1828392/Dum_pro_Julii.pdf/074a5d18-0db0-cf14-cefc-3098cbc34e7f
cerveny_kopec,Sociálně-zdravotní komplex Červený kopec,"Zadávací řízení, nikoliv provoz",2026-07-29,Město hledalo zhotovitele od roku 2025. V červenci 2026 upravilo zadávací podmínky a prodloužilo lhůtu pro nabídky přibližně do poloviny září. V doložených podkladech proto nejde o již poskytovanou novou kapacitu sociální či zdravotní péče.,Robert Kerndl; René Černý; Dagmar Seidlová,18.4,https://cobude.brno.cz/projekt/komplex-cerveny-kopec/ | https://cobude.brno.cz/mesto-upravilo-zadavaci-podminky-pro-vyber-zhotovitele-komplexu-lhuta-pro-podani-nabidek-se-prodlouzi-priblizne-do-poloviny-zari/
vouchery,Rodičovské vouchery,Zavedený a pokračující program,2026,"Projekt spuštěný v listopadu 2023 pokračuje v roce 2026. Rada pro třetí ročník schválila maximální alokaci 40 mil. Kč a podporu 4 000 Kč na dítě při splnění podmínek. Alokace není skutečně vyčerpaná částka ani počet podpořených dětí. Pravidla se měnila, proto historická tisková zpráva nemá sloužit jako aktuální návod k podání žádosti.",Irena Matonohová; Filip Chvátal; Tomáš Aberl,19.2,https://www.brnoid.cz/cs/rodicovske-vouchery | https://www.brno.cz/documents/20121/13022244/R9-144-P.pdf/c4dcb35c-b23e-20be-bd55-d575d2273626
participace,Dáme na vás,Pokračující participativní rozpočet,2025-11,"V listopadu 2025 hlasovalo téměř 14 tisíc lidí a bylo vybráno sedm vítězných projektů. Výběr projektů je doložený výsledek procesu; dokončení všech vítězných projektů tím prokázáno není. Při hodnocení radního pro participaci je vhodné sledovat odděleně počet hlasujících, dodací dobu projektů a realizované výdaje.",Petr Bořecký bez titulu arch. (od ledna 2024),20.1,https://cosedeje.brno.cz/documents/317111/0/Metropolitan_2026-1_web.pdf/6cce0bdd-5853-813f-2ee5-92412bd70b9a
vodova,Třetí hala na Vodově,Dokončena; provoz oznámen od května 2025,2025-04-22,"Město v dubnu 2025 představilo dokončenou třetí halu a oznámilo zahájení provozu v polovině května. Na rozdíl od řady velkých záměrů jde o konkrétní novou sportovní infrastrukturu vybudovanou v období. Samotná existence haly ještě nevypovídá o provozní dotaci, dostupnosti pro školy a veřejnost ani vytížení; tyto ukazatele má sledovat další kontrola.",Tomáš Aberl; René Černý; STAREZ–SPORT,14.7,https://cobude.brno.cz/projekt/rozvoj-arealu-vodova/ | https://cobude.brno.cz/starez-arena-vodova-ma-treti-halu-provoz-zacne-v-polovine-kvetna/
bazeny,Bazény Lužánky,Otevřeno v listopadu 2023,2023-11-06,"Nový plavecký komplex byl otevřen pro veřejnost v listopadu 2023. Projekt má přesah do předchozího období, proto je vhodné zaznamenat jako výsledek nynějšího období dokončení a spuštění provozu, nikoliv připsat mu celou historii investice.",Tomáš Aberl; René Černý; STAREZ–SPORT,14.7,https://cobude.brno.cz/projekt/plavecky-stadion-luzanky/ | https://cobude.brno.cz/novy-plavecky-komplex-v-luzankach-zahajuje-provoz-pro-verejnost-otevreny-bude-denne/
anthropos,Sportovně-rekreační areál Anthropos,Příprava a majetkové kroky pokračují,2026-09-16,Po vyklizení areálu a demolicích v roce 2025 následovaly další majetkové kroky. Zpráva z 16. září 2026 výslovně hovoří o možnosti pokračovat v přípravě díky směně a dohodě. Nelze jej proto k uzávěrce počítat jako hotový areál pro veřejnost.,Tomáš Aberl; Jiří Oliva; René Černý,1.8;14.7,https://cobude.brno.cz/projekt/rekreacni-areal-pisarky/ | https://cobude.brno.cz/priprava-arealu-anthropos-muze-pokracovat-pomohou-smena-i-dohoda/
stadion,Fotbalový stadion za Lužánkami,Zrušení dosavadního řízení podle zprávy z 15. září,2026-09-15,"Červnové zastupitelstvo po dlouhé debatě odložilo rozhodnutí o prodeji a řešilo právní i cenová rizika. Podle reportáže iDNES z 15. září následně město zrušilo dosavadní řízení a má proces zahájit znovu. Zápis zářijového zasedání nebyl při sběru dostupný: aktuální výsledek je proto označen jako mediálně doložený a nejsou k němu domýšleny individuální hlasy. Případ ukazuje spor o způsob majetkové transakce, který nelze zredukovat na prosté pro nebo proti fotbalu.",Jiří Oliva; Tomáš Aberl; Markéta Vaňková; ZMB,14.7,https://www.idnes.cz/brno/zpravy/stadion-luzanky-zbrojovka-brno-prodej-jednani-poruseni-zakon.A260914_133329_brno-zpravy_mos1
vodojemy,Vodojemy Žlutý kopec,Zpřístupněno v březnu 2024,2024-03-21,"Zpřístupnění vodojemů v březnu 2024 je dokončený kulturní a turistický výsledek s přípravou zasahující do předchozího období. Přínos pro návštěvnost či ekonomiku cestovního ruchu je potřeba poměřovat provozními daty, nikoli pouze propagačním označením nové atrakce.",Markéta Vaňková; René Černý; TIC BRNO,,https://cobude.brno.cz/projekt/vodojemy-zluty-kopec/ | https://cobude.brno.cz/brno-ma-novou-top-pamatku-otevrelo-vodojemy-zluty-kopec/
meninska,Měnínská brána,Rekonstrukce probíhá,2026-05,"Květnový Metropolitan 2026 popisuje rekonstrukci přibližně v polovině. Uvádí investici okolo 50 mil. Kč a dokončování stavebních prací v létě následujícího roku, poté vybavení expozice. Je doložena realizace oprav, nikoliv hotová a znovu otevřená expozice.",Markéta Vaňková; René Černý; Muzeum města Brna,15.3,https://cosedeje.brno.cz/documents/317111/14710024/Metropolitan_2026-5_web.pdf/b6b5494d-efc5-c6d9-0f69-3d880485c346?t=1777288173565
ceska,Kolektor Česká–Středova,Stavba zahájena a probíhá,2026-09-10,"V září 2026 probíhá ražba podzemního kolektoru. Je tedy doloženo zahájení stavby, které program požadoval. Obnova povrchu a dokončení celé investice jsou další milníky; při kontrole nákladů a dopadů na centrum je třeba hodnotit celý průběh, ne pouze zahajovací rozhodnutí.",René Černý; Petr Kratochvíl,1.10,https://cobude.brno.cz/projekt/kolektor-ceska-stredova/ | https://cobude.brno.cz/hornici-pracuji-v-hloubce-az-osmi-metru-na-jejich-praci-se-podivali-i-zastupci-medii/
nadrazi,"Nové nádraží, Trnitá a bulvár",Městská infrastruktura zahájena; nádraží v přípravě,2026-02-26,V únoru 2026 město oznámilo zahájení severní části bulváru spojujícího centrum s budoucím nádražím. To je konkrétní posun navazující městské infrastruktury. Samotný železniční uzel je jiný projekt se Správou železnic; zahájení městské komunikace není zahájením či dokončením nového nádraží.,René Černý; Petr Kratochvíl; Martin Příborský; Správa železnic,1.7,https://cobude.brno.cz/projekt/europoint-nove-nadrazi/ | https://cobude.brno.cz/z-centra-na-nove-nadrazi-bulvarem-stavba-jeho-severni-casti-zacina/
